name, semimajor-axis, eccentricity, inclination_deg, arg_of_peri_deg, ascending_node_deg, dete_of_peri
mercury, 0.3870993, 0.20564, 7.005, 29.13, 48.3, 2022-10-06-21
venus, 0.723, 0.0068, 3.3947, 54.9, 76.7, 2022-02-19-00
earth, 1, 0.0167, 0, 114.208, -11.2606, 2022-01-01-00
mars, 1.52371, 0.09339, 1.850, 286.5, 49.6, 2022-12-07-00
jupiter, 5.2029, 0.0484, 1.304, 274.3, 100.4, 2011-03-17-00
saturn, 9.537, 0.0539, 2.486, 338.9, 113.7, 2003-07-07-00
uranus, 19.189, 0.04726, 0.773, 96.9, 74.02, 1966-06-02-00
neptune, 30.0699, 0.00859, 1.7700, 273.2, 131.784, 1881-02-02-00
halley, 17.83414429, 0.96714291, 162.26269058, 111.33248510452, 58.420080976568, 1986-02-09-00
pluto, 39.236, 0.2444, 17.16, 113.76, 110.30, 1990-01-13-00
ceres, 2.7658, 0.078, 10.607, 73.1, 80.7, 1981-06-02-03
eris, 67.864, 0.43605, 44.0393, 151.643, 35.95086, 2259-08-01-00
makemake, 45.4307, 0.161250, 28.98347, 294.835, 79.6194, 1879-08-16-00
haumea, 43.1822, 0.19489, 28.213545, 238.779, 122.1628, 2132-07-11-00
